,precision,recall,f1-score,support
angry,0.9937888198757764,1.0,0.9968847352024922,160.0
disgust,0.9808917197452229,0.9625,0.9716088328075709,160.0
fear,1.0,1.0,1.0,160.0
happy,1.0,0.9875,0.9937106918238994,160.0
neutral,1.0,1.0,1.0,160.0
ps,0.9570552147239264,0.975,0.9659442724458205,160.0
sad,0.9937888198757764,1.0,0.9968847352024922,160.0
accuracy,0.9892857142857143,0.9892857142857143,0.9892857142857143,0.9892857142857143
macro avg,0.9893606534601004,0.9892857142857142,0.9892904667831822,1120.0
weighted avg,0.9893606534601004,0.9892857142857143,0.9892904667831822,1120.0
